"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 19 12:47:22 GMT 2024","Tue Mar 19 12:47:22 GMT 2024","0","tests","test_generic","","","","Generic Test","This is a generic allure description"
"passed","Tue Mar 19 12:47:23 GMT 2024","Tue Mar 19 12:47:23 GMT 2024","462","tests","test_web","","","","test_get_started_link[chromium]",""
"passed","Tue Mar 19 12:47:22 GMT 2024","Tue Mar 19 12:47:22 GMT 2024","0","tests","test_generic","","","","test_generic_success_with_fixture",""
"passed","Tue Mar 19 12:47:22 GMT 2024","Tue Mar 19 12:47:23 GMT 2024","325","tests","test_web","","","","test_has_title[chromium]",""
"failed","Tue Mar 19 12:47:22 GMT 2024","Tue Mar 19 12:47:22 GMT 2024","0","tests","test_generic","","","","test_generic_fail",""
